,Date,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
32,04/02/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/02/2020,Bronx,1159,11086,1946,21857
33,04/03/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/03/2020,Bronx,1229,12315,2108,23965
34,04/04/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/04/2020,Bronx,1053,13368,1778,25743
35,04/05/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/05/2020,Bronx,959,14327,1628,27371
36,04/06/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/06/2020,Bronx,1021,15348,1996,29367
37,04/07/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/07/2020,Bronx,1278,16626,2562,31929
38,04/08/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/08/2020,Bronx,1166,17792,2348,34277
39,04/09/2020,0.2,2,PFIZER LAB SITE,18,75.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/09/2020,Bronx,1368,19160,2637,36914
40,04/10/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/10/2020,Bronx,1317,20477,2580,39494
41,04/11/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/11/2020,Bronx,964,21441,2081,41575
42,04/12/2020,0.4,5,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/12/2020,Bronx,764,22205,1623,43198
43,04/13/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/13/2020,Bronx,1061,23266,2294,45492
44,04/14/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/14/2020,Bronx,1387,24653,2622,48114
45,04/15/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/15/2020,Bronx,1279,25932,2939,51053
46,04/16/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/16/2020,Bronx,1103,27035,2793,53846
47,04/17/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/17/2020,Bronx,984,28019,2597,56443
48,04/18/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/18/2020,Bronx,804,28823,2162,58605
49,04/19/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/19/2020,Bronx,549,29372,1707,60312
50,04/20/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/20/2020,Bronx,617,29989,2050,62362
51,04/21/2020,0.3,3,PFIZER LAB SITE,18,75.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/21/2020,Bronx,879,30868,2942,65304
52,04/22/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/22/2020,Bronx,791,31659,3084,68388
53,04/23/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/23/2020,Bronx,1042,32701,3691,72079
54,04/24/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/24/2020,Bronx,1482,34183,4800,76879
55,04/25/2020,0.4,5,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/25/2020,Bronx,787,34970,2967,79846
56,04/26/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/26/2020,Bronx,586,35556,2363,82209
57,04/27/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/27/2020,Bronx,438,35994,2107,84316
58,04/28/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/28/2020,Bronx,606,36600,2938,87254
59,04/29/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/29/2020,Bronx,644,37244,2977,90231
60,04/30/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/30/2020,Bronx,541,37785,2824,93055
61,05/01/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/01/2020,Bronx,665,38450,3694,96749
62,05/02/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/02/2020,Bronx,466,38916,2857,99606
