,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
17,03/09/2020,34.2,32,PFIZER LAB SITE,20,83.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/09/2020,Bronx,4,5,31,76
18,03/10/2020,37.2,35,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/10/2020,Bronx,0,5,47,123
19,03/10/2020,34.7,32,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/10/2020,Bronx,0,5,47,123
20,03/11/2020,45.3,42,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/11/2020,Bronx,2,7,31,154
21,03/11/2020,23.4,22,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/11/2020,Bronx,2,7,31,154
22,03/12/2020,59.5,56,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/12/2020,Bronx,3,10,36,190
23,03/12/2020,40.5,38,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/12/2020,Bronx,3,10,36,190
24,03/13/2020,38.4,36,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/13/2020,Bronx,10,20,99,289
25,03/13/2020,29.4,27,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/13/2020,Bronx,10,20,99,289
26,03/14/2020,14.3,13,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/14/2020,Bronx,8,28,80,369
27,03/14/2020,11.3,10,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/14/2020,Bronx,8,28,80,369
28,03/15/2020,21.1,20,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/15/2020,Bronx,29,57,116,485
29,03/15/2020,11.2,10,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/15/2020,Bronx,29,57,116,485
